#6/5	#6/5	#6/5
WAKE	wake	WAKE
FOREST	forest	FOREST
ESAPCES	esapc	ESAPCES
WITH	with	WITH
67	67	67
-	-	-
64 	64 	64 
WIN	win	WIN
OVER	over	OVER
TEMPLE	templ	TEMPLE
.	.	.

PHILADELPHIA	philadelphia	PHILADELPHIA
-	-	-
As	as	As
sophomore	sophomor	sophomore
Dustin	dustin	Dustin
Salisberys	salisberi	Salisberys
desperation	desper	desperation
three	three	three
-	-	-
point	point	point
attempt	attempt	attempt
with	with	with
two	two	two
seconds	second	second
remaining	remain	remaining
sailed	sail	sailed
awry,	awry,	awry,
so	so	so
did	did	did
the	the	the
hopes	hope	hope
of	of	of
a	a	a
Temple	templ	Temple
upset	upset	upset
over	over	over
#6/5	#6/5	#6/5
Wake	wake	Wake
Forest	forest	Forest
,	,	,
who	who	who
escaped	escap	escaped
with	with	with
a	a	a
67	67	67
-	-	-
64 	64 	64 
win	win	win
on	on	on
Monday	monday	Monday
night	night	night
at	at	at
the	the	the
Liacouras	liacoura	Liacouras
Center	center	Center
.	.	.

