In	in	In
AD	ad	AD
2004.	2004.	2004.

(Second	(second	(Second
term	term	term
was	was	wa
beginning	begin	beginning
.	.	.
)&lt	)&lt	)&lt
;	;	;
Kerry&gt	kerry&gt	Kerry&gt
;	;	;
What	what	What
happen	happen	happen
?	?	?
&lt	&lt	&lt
;	;	;
Edwards&gt	edwards&gt	Edwards&gt
;	;	;
Somebody	somebodi	Somebody
set	set	set
up	up	up
us	us	u
the	the	the
bomb	bomb	bomb
.	.	.
&lt	&lt	&lt
;	;	;
Edwards&gt	edwards&gt	Edwards&gt
;	;	;
We	we	We
get	get	get
Ohio	ohio	Ohio
exit	exit	exit
poll	poll	poll
.	.	.
&lt	&lt	&lt
;	;	;
Kerry&gt	kerry&gt	Kerry&gt
;	;	;
What	what	What
you	you	you
say	say	say
?!	?!	?!
&lt	&lt	&lt
;	;	;
Edwards&gt	edwards&gt	Edwards&gt
;	;	;
Fox	fox	Fox
News	news	News
turn	turn	turn
on	on	on
.	.	.
&lt	&lt	&lt
;	;	;
Kerry&gt	kerry&gt	Kerry&gt
;	;	;
It's	it	It's
you	you	you
!!	!!	!!
&lt	&lt	&lt
;	;	;
Bush&gt	bush&gt	Bush&gt
;	;	;
How	how	How
are	are	are
you	you	you
gentlemen	gentlemen	gentleman
!!?	!!?	!!?
&lt	&lt	&lt
;	;	;
Bush&gt	bush&gt	Bush&gt
;	;	;
All	all	All
your	your	your
ballots	ballot	ballot
are	are	are
belong	belong	belong
to	to	to
us	us	u
.	.	.
&lt	&lt	&lt
;	;	;
Bush&gt	bush&gt	Bush&gt
;	;	;
You	you	You
are	are	are
on	on	on
the	the	the
way	way	way
to	to	to
election	elect	election
defeat	defeat	defeat
.	.	.
&lt	&lt	&lt
;	;	;
Kerry&gt	kerry&gt	Kerry&gt
;	;	;
What	what	What
you	you	you
say	say	say
!!?	!!?	!!?
&lt	&lt	&lt
;	;	;
Bush&gt	bush&gt	Bush&gt
;	;	;
You	you	You
have	have	have
no	no	no
chance	chanc	chance
to	to	to
win	win	win
make	make	make
your	your	your
time	time	time
.	.	.
&lt	&lt	&lt
;	;	;
Bush&gt	bush&gt	Bush&gt
;	;	;
Ha	ha	Ha
Ha	ha	Ha
Ha	ha	Ha
Ha	ha	Ha
...	...	...
.	.	.
&lt	&lt	&lt
;	;	;
aminorex&gt	aminorex&gt	aminorex&gt
;	;	;
take	take	take
off,	off,	off,
every	everi	every
zogby&lt	zogby&lt	zogby&lt
;	;	;
aminorex&gt	aminorex&gt	aminorex&gt
;	;	;
for	for	for
great	great	great
justiceThanks	justicethank	justiceThanks
coderman	coderman	coderman
and	and	and
#inforanarchy	#inforanarchi	#inforanarchy
!	!	!

